,SalesOrderID,OrderDate,ShipDate
0,43659,2011-05-31,2011-06-07
1,43660,2011-05-31,2011-06-07
2,43661,2011-05-31,2011-06-07
3,43662,2011-05-31,2011-06-07
4,43663,2011-05-31,2011-06-07
5,43664,2011-05-31,2011-06-07
6,43665,2011-05-31,2011-06-07
7,43666,2011-05-31,2011-06-07
8,43667,2011-05-31,2011-06-07
9,43668,2011-05-31,2011-06-07
10,43669,2011-05-31,2011-06-07
11,43670,2011-05-31,2011-06-07
12,43671,2011-05-31,2011-06-07
13,43672,2011-05-31,2011-06-07
14,43673,2011-05-31,2011-06-07
15,43674,2011-05-31,2011-06-07
16,43675,2011-05-31,2011-06-07
17,43676,2011-05-31,2011-06-07
18,43677,2011-05-31,2011-06-07
19,43678,2011-05-31,2011-06-07
20,43679,2011-05-31,2011-06-07
21,43680,2011-05-31,2011-06-07
22,43681,2011-05-31,2011-06-07
23,43682,2011-05-31,2011-06-07
24,43683,2011-05-31,2011-06-07
25,43684,2011-05-31,2011-06-07
26,43685,2011-05-31,2011-06-07
27,43686,2011-05-31,2011-06-07
28,43687,2011-05-31,2011-06-07
29,43688,2011-05-31,2011-06-07
30,43689,2011-05-31,2011-06-07
31,43690,2011-05-31,2011-06-07
32,43691,2011-05-31,2011-06-07
33,43692,2011-05-31,2011-06-07
34,43693,2011-05-31,2011-06-07
35,43694,2011-05-31,2011-06-07
36,43695,2011-05-31,2011-06-07
37,43696,2011-05-31,2011-06-07
38,43697,2011-05-31,2011-06-07
39,43698,2011-05-31,2011-06-07
40,43699,2011-05-31,2011-06-07
41,43700,2011-05-31,2011-06-07
42,43701,2011-05-31,2011-06-07
43,43702,2011-06-01,2011-06-08
44,43703,2011-06-01,2011-06-08
45,43704,2011-06-01,2011-06-08
46,43705,2011-06-01,2011-06-08
47,43706,2011-06-02,2011-06-09
48,43707,2011-06-02,2011-06-09
49,43708,2011-06-02,2011-06-09
50,43709,2011-06-02,2011-06-09
51,43710,2011-06-02,2011-06-09
52,43711,2011-06-03,2011-06-10
53,43712,2011-06-03,2011-06-10
54,43713,2011-06-04,2011-06-11
55,43714,2011-06-04,2011-06-11
56,43715,2011-06-04,2011-06-11
57,43716,2011-06-04,2011-06-11
58,43717,2011-06-04,2011-06-11
59,43718,2011-06-05,2011-06-12
60,43719,2011-06-05,2011-06-12
61,43720,2011-06-05,2011-06-12
62,43721,2011-06-05,2011-06-12
63,43722,2011-06-06,2011-06-13
64,43723,2011-06-06,2011-06-13
65,43724,2011-06-06,2011-06-13
66,43725,2011-06-07,2011-06-14
67,43726,2011-06-07,2011-06-14
68,43727,2011-06-07,2011-06-14
69,43728,2011-06-08,2011-06-15
70,43729,2011-06-08,2011-06-15
71,43730,2011-06-08,2011-06-15
72,43731,2011-06-08,2011-06-15
73,43732,2011-06-08,2011-06-15
74,43733,2011-06-08,2011-06-15
75,43734,2011-06-09,2011-06-16
76,43735,2011-06-09,2011-06-16
77,43736,2011-06-09,2011-06-16
78,43737,2011-06-10,2011-06-17
79,43738,2011-06-10,2011-06-17
80,43739,2011-06-10,2011-06-17
81,43740,2011-06-10,2011-06-17
82,43741,2011-06-11,2011-06-18
83,43742,2011-06-11,2011-06-18
84,43743,2011-06-11,2011-06-18
85,43744,2011-06-11,2011-06-18
86,43745,2011-06-12,2011-06-19
87,43746,2011-06-12,2011-06-19
88,43747,2011-06-13,2011-06-20
89,43748,2011-06-13,2011-06-20
90,43749,2011-06-13,2011-06-20
91,43750,2011-06-13,2011-06-20
92,43751,2011-06-13,2011-06-20
93,43752,2011-06-13,2011-06-20
94,43753,2011-06-13,2011-06-20
95,43754,2011-06-14,2011-06-21
96,43755,2011-06-14,2011-06-21
97,43756,2011-06-14,2011-06-21
98,43757,2011-06-14,2011-06-21
99,43758,2011-06-15,2011-06-22
100,43759,2011-06-15,2011-06-22
101,43760,2011-06-15,2011-06-22
102,43761,2011-06-15,2011-06-22
103,43762,2011-06-16,2011-06-23
104,43763,2011-06-16,2011-06-23
105,43764,2011-06-16,2011-06-23
106,43765,2011-06-16,2011-06-23
107,43766,2011-06-17,2011-06-24
108,43767,2011-06-17,2011-06-24
109,43768,2011-06-18,2011-06-25
110,43769,2011-06-18,2011-06-25
111,43770,2011-06-18,2011-06-25
112,43771,2011-06-18,2011-06-25
113,43772,2011-06-18,2011-06-25
114,43773,2011-06-18,2011-06-25
115,43774,2011-06-18,2011-06-25
116,43775,2011-06-18,2011-06-25
117,43776,2011-06-19,2011-06-26
118,43777,2011-06-19,2011-06-26
119,43778,2011-06-19,2011-06-26
120,43779,2011-06-19,2011-06-26
121,43780,2011-06-20,2011-06-27
122,43781,2011-06-20,2011-06-27
123,43782,2011-06-20,2011-06-27
124,43783,2011-06-20,2011-06-27
125,43784,2011-06-21,2011-06-28
