,SalesOrderID,TotalDue,NumberofItems,OnlineOrderFlag
0,43659,23153.2339,12,offline
1,43660,1457.3288,2,offline
2,43661,36865.8012,15,offline
3,43662,32474.9324,22,offline
4,43663,472.3108,1,offline
5,43664,27510.4109,8,offline
6,43665,16158.6961,10,offline
7,43666,5694.8564,6,offline
8,43667,6876.3649,4,offline
9,43668,40487.7233,29,offline
10,43669,807.2585,1,offline
11,43670,6893.2549,4,offline
12,43671,9153.6054,11,offline
13,43672,6895.41,3,offline
14,43673,4216.0258,11,offline
15,43674,2955.0542,1,offline
16,43675,6434.0848,9,offline
17,43676,15992.7446,5,offline
18,43677,8773.681,12,offline
19,43678,11036.3964,19,offline
20,43679,1481.1742,3,offline
21,43680,12832.9009,15,offline
22,43681,15524.0686,21,offline
23,43682,4363.7107,5,offline
24,43683,48204.0662,13,offline
25,43684,6301.6258,6,offline
26,43685,3082.0191,4,offline
27,43686,3899.6756,3,offline
28,43687,1416.9322,2,offline
29,43688,14323.1194,11,offline
30,43689,38291.2063,21,offline
31,43690,1460.6061,4,offline
32,43691,985.018,1,offline
33,43692,43362.4196,28,offline
34,43693,23126.45,10,offline
35,43694,23242.1865,11,offline
36,43695,44344.8265,8,offline
37,43696,472.3108,1,offline
38,43697,3953.9884,1,online
39,43698,3756.989,1,online
40,43699,3756.989,1,online
41,43700,772.5036,1,online
42,43701,3756.989,1,online
43,43702,3953.9884,1,online
44,43703,3953.9884,1,online
45,43704,3729.364,1,online
46,43705,3756.989,1,online
47,43706,3953.9884,1,online
48,43707,3953.9884,1,online
49,43708,772.5036,1,online
50,43709,3953.9884,1,online
51,43710,3953.9884,1,online
52,43711,3953.9884,1,online
53,43712,3953.9884,1,online
54,43713,3953.9884,1,online
55,43714,3953.9884,1,online
56,43715,3953.9884,1,online
57,43716,3953.9884,1,online
58,43717,772.5036,1,online
59,43718,3953.9884,1,online
60,43719,3953.9884,1,online
61,43720,3953.9884,1,online
62,43721,3953.9884,1,online
63,43722,3953.9884,1,online
64,43723,772.5036,1,online
65,43724,3953.9884,1,online
66,43725,3953.9884,1,online
67,43726,772.5036,1,online
68,43727,3953.9884,1,online
69,43728,3953.9884,1,online
70,43729,3756.989,1,online
71,43730,3756.989,1,online
72,43731,3953.9884,1,online
73,43732,3729.364,1,online
74,43733,3953.9884,1,online
75,43734,3953.9884,1,online
76,43735,3953.9884,1,online
77,43736,3756.989,1,online
78,43737,3953.9884,1,online
79,43738,3953.9884,1,online
80,43739,3953.9884,1,online
81,43740,3953.9884,1,online
82,43741,3953.9884,1,online
83,43742,3953.9884,1,online
84,43743,3756.989,1,online
85,43744,3953.9884,1,online
86,43745,3953.9884,1,online
87,43746,3953.9884,1,online
88,43747,3953.9884,1,online
89,43748,3953.9884,1,online
90,43749,3953.9884,1,online
91,43750,3953.9884,1,online
92,43751,3953.9884,1,online
93,43752,3953.9884,1,online
94,43753,3953.9884,1,online
95,43754,3953.9884,1,online
96,43755,3953.9884,1,online
97,43756,772.5036,1,online
98,43757,3729.364,1,online
99,43758,3953.9884,1,online
100,43759,3953.9884,1,online
101,43760,3953.9884,1,online
102,43761,3953.9884,1,online
103,43762,3953.9884,1,online
104,43763,3953.9884,1,online
105,43764,3953.9884,1,online
106,43765,3756.989,1,online
107,43766,3953.9884,1,online
108,43767,3729.364,1,online
109,43768,3953.9884,1,online
110,43769,3953.9884,1,online
111,43770,3953.9884,1,online
112,43771,772.5036,1,online
113,43772,3953.9884,1,online
114,43773,3953.9884,1,online
115,43774,3953.9884,1,online
116,43775,3756.989,1,online
117,43776,3953.9884,1,online
118,43777,3953.9884,1,online
119,43778,3756.989,1,online
120,43779,772.5036,1,online
121,43780,3953.9884,1,online
122,43781,3953.9884,1,online
123,43782,3953.9884,1,online
124,43783,3953.9884,1,online
125,43784,3953.9884,1,online
126,43785,3953.9884,1,online
127,43786,3953.9884,1,online
128,43787,3756.989,1,online
129,43788,3729.364,1,online
130,43789,3729.364,1,online
131,43790,3756.989,1,online
132,43791,3953.9884,1,online
133,43792,3953.9884,1,online
134,43793,3756.989,1,online
135,43794,3756.989,1,online
136,43795,3953.9884,1,online
137,43796,772.5036,1,online
138,43797,3953.9884,1,online
139,43798,3953.9884,1,online
140,43799,3953.9884,1,online
141,43800,3953.9884,1,online
142,43801,3953.9884,1,online
143,43802,3953.9884,1,online
144,43803,3953.9884,1,online
145,43804,3953.9884,1,online
146,43805,772.5036,1,online
147,43806,3953.9884,1,online
148,43807,3953.9884,1,online
149,43808,3953.9884,1,online
150,43809,3953.9884,1,online
151,43810,3756.989,1,online
152,43811,3756.989,1,online
153,43812,3953.9884,1,online
154,43813,3729.364,1,online
155,43814,3729.364,1,online
156,43815,3953.9884,1,online
157,43816,3953.9884,1,online
158,43817,3953.9884,1,online
159,43818,3953.9884,1,online
160,43819,3756.989,1,online
161,43820,3953.9884,1,online
162,43821,3953.9884,1,online
163,43822,3953.9884,1,online
164,43823,772.5036,1,online
165,43824,772.5036,1,online
166,43825,3953.9884,1,online
167,43826,3729.364,1,online
168,43827,772.5036,1,online
169,43828,3953.9884,1,online
170,43829,3953.9884,1,online
171,43830,3953.9884,1,online
172,43831,3729.364,1,online
173,43832,3953.9884,1,online
174,43833,3953.9884,1,online
175,43834,3729.364,1,online
176,43835,3729.364,1,online
177,43836,772.5036,1,online
178,43837,3729.364,1,online
179,43838,3953.9884,1,online
180,43839,3953.9884,1,online
181,43840,772.5036,1,online
182,43841,3953.9884,1,online
183,43842,3953.9884,1,online
184,43843,37106.2915,10,offline
185,43844,22801.4324,4,offline
186,43845,9661.1367,10,offline
187,43846,1038.5162,4,offline
188,43847,1022.9155,3,offline
189,43848,20571.9592,5,offline
190,43849,23130.2957,11,offline
191,43850,11473.9009,11,offline
192,43851,7638.8584,12,offline
193,43852,2280.1432,1,offline
194,43853,29675.6422,6,offline
195,43854,1970.036,1,offline
196,43855,12382.9248,13,offline
197,43856,2292.84,2,offline
198,43857,8090.9178,14,offline
199,43858,15423.0001,13,offline
200,43859,4404.1073,4,offline
201,43860,12381.0798,12,offline
202,43861,26346.8927,27,offline
203,43862,34922.3602,9,offline
204,43863,1935.4159,4,offline
205,43864,43335.7219,9,offline
206,43865,14860.6446,14,offline
207,43866,4589.8732,3,offline
208,43867,36806.4892,18,offline
209,43868,2417.4793,1,offline
210,43869,55408.1581,10,offline
211,43870,4859.8668,5,offline
212,43871,10580.0803,14,offline
213,43872,13042.6279,16,offline
214,43873,46465.9531,28,offline
215,43874,472.3108,1,offline
216,43875,137343.2877,21,offline
217,43876,8036.8834,8,offline
218,43877,23223.5397,10,offline
219,43878,4594.0664,2,offline
220,43879,24459.114,26,offline
221,43880,17433.1351,13,offline
222,43881,43706.8175,8,offline
223,43882,2280.1432,1,offline
224,43883,20634.6499,17,offline
225,43884,130416.4829,22,offline
226,43885,76.1805,2,offline
227,43886,19543.315,21,offline
228,43887,472.3108,1,offline
229,43888,16255.1776,14,offline
230,43889,2344.3852,2,offline
231,43890,84686.9878,13,offline
232,43891,36672.3922,9,offline
233,43892,18627.7044,13,offline
